Type,SKU,Name,Published,Short description,Description,Categories,Images,Regular price,In stock?,Stock
simple,FL-S-001,Beneito Faure Pulso,1,"Residential downlight, high CRI.","An accessible, highly reliable residential downlight by Beneito Faure, perfect for broad residential rollouts.","Studio > Recessed","https://images.unsplash.com/photo-1565814329452-e1efa11c5b89?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-002,Keylite Halo Ring,1,"Premium pendant, high-CRI.","High-end residential pendant by Keylite. Exquisite materials combined with perfect, high-CRI illumination.","Studio > Pendant","https://images.unsplash.com/photo-1540932239986-30128078f3c5?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-003,Gea Luce Atmos,1,"Italian surface luminaire.","Premium Italian-designed surface luminaire from Gea Luce for luxury living spaces and architectural focal points.","Studio > Surface-mounted","https://images.unsplash.com/photo-1510074377623-8cf13fb86c08?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-004,Ilum Hospitality Track,1,"HORECA track lighting.","Tailored specifically for HORECA environments. Delivers warm, deeply inviting light for high-end restaurants and cafes.","Studio > Track","https://images.unsplash.com/photo-1581091226825-a6a2a5aee158?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-005,Essenzialed Office Matrix,1,"UGR under 16 linear office.","Architectural linear lighting by Essenzialed with UGR under 16 for modern corporate office projects.","Studio > Linear Systems","https://images.unsplash.com/photo-1600585154340-be6161a56a0c?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-006,Kitchen Island Series,1,"Bespoke kitchen pendants.","High-end residential pendant system developed by our bespoke division specifically for luxury kitchens.","Studio > Pendant","https://images.unsplash.com/photo-1540932239986-30128078f3c5?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-007,Gea Luce Cylindra,1,"Cylindrical surface accent.","Sleek cylindrical surface spotlight built for precise accent lighting in premium residential hallways.","Studio > Surface-mounted","https://images.unsplash.com/photo-1510074377623-8cf13fb86c08?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-008,Keylite Recessed Pro,1,"Trimless architectural downlight.","State-of-the-art trimless downlight from Keylite providing seamless ceiling integration for architectural builds.","Studio > Recessed","https://images.unsplash.com/photo-1565814329452-e1efa11c5b89?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-009,Beneito Faure Mini Surface,1,"Compact surface utility.","Compact, robust surface luminaire for utility and budget-focused residential drop ceilings.","Studio > Surface-mounted","https://images.unsplash.com/photo-1513694203232-719a280e022f?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-S-010,Ilum Glow Pendant,1,"Blown-glass dining pendant.","A gorgeous blown-glass pendant by Ilum designed specifically for intimate restaurant dining tables.","Studio > Pendant","https://images.unsplash.com/photo-1507643179773-3e975d7ac515?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-T-001,Vysn Tevo Track Profile,1,"48V magnetic track, commercial.","The Tevo track system by Vysn provides professional installers with rapid, click-and-lock 48V magnetic track mounting.","Trade > Linear Systems","https://images.unsplash.com/photo-1510074377623-8cf13fb86c08?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
simple,FL-T-002,Beneito Faure Pulso Downlight,1,"75mm cutout, CRI95+, IP44.","An accessible, highly reliable architectural downlight by Beneito Faure for broad rollouts.","Trade > Downlights","https://images.unsplash.com/photo-1565814329452-e1efa11c5b89?auto=format&fit=crop&q=80&w=1200&h=1200",0,1,
